is_default,pokemon_name,pokemon_url,id_x,name,is_baby,is_legendary,is_mythical,forms_switchable,has_gender_differences,gen_x,gen_url,BST,gen_num,base_stat,stat_name,id_y,gen_y
True,bulbasaur,https://pokeapi.co/api/v2/pokemon/1/,1,bulbasaur,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,318,Gen 1,45.0,hp,1.0,generation-i
True,bulbasaur,https://pokeapi.co/api/v2/pokemon/1/,1,bulbasaur,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,318,Gen 1,49.0,attack,1.0,generation-i
True,bulbasaur,https://pokeapi.co/api/v2/pokemon/1/,1,bulbasaur,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,318,Gen 1,49.0,defense,1.0,generation-i
True,bulbasaur,https://pokeapi.co/api/v2/pokemon/1/,1,bulbasaur,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,318,Gen 1,65.0,special-attack,1.0,generation-i
True,bulbasaur,https://pokeapi.co/api/v2/pokemon/1/,1,bulbasaur,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,318,Gen 1,65.0,special-defense,1.0,generation-i
True,bulbasaur,https://pokeapi.co/api/v2/pokemon/1/,1,bulbasaur,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,318,Gen 1,45.0,speed,1.0,generation-i
True,charmander,https://pokeapi.co/api/v2/pokemon/4/,4,charmander,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,309,Gen 1,39.0,hp,4.0,generation-i
True,charmander,https://pokeapi.co/api/v2/pokemon/4/,4,charmander,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,309,Gen 1,52.0,attack,4.0,generation-i
True,charmander,https://pokeapi.co/api/v2/pokemon/4/,4,charmander,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,309,Gen 1,43.0,defense,4.0,generation-i
True,charmander,https://pokeapi.co/api/v2/pokemon/4/,4,charmander,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,309,Gen 1,60.0,special-attack,4.0,generation-i
True,charmander,https://pokeapi.co/api/v2/pokemon/4/,4,charmander,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,309,Gen 1,50.0,special-defense,4.0,generation-i
True,charmander,https://pokeapi.co/api/v2/pokemon/4/,4,charmander,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,309,Gen 1,65.0,speed,4.0,generation-i
True,squirtle,https://pokeapi.co/api/v2/pokemon/7/,7,squirtle,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,314,Gen 1,44.0,hp,7.0,generation-i
True,squirtle,https://pokeapi.co/api/v2/pokemon/7/,7,squirtle,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,314,Gen 1,48.0,attack,7.0,generation-i
True,squirtle,https://pokeapi.co/api/v2/pokemon/7/,7,squirtle,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,314,Gen 1,65.0,defense,7.0,generation-i
True,squirtle,https://pokeapi.co/api/v2/pokemon/7/,7,squirtle,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,314,Gen 1,50.0,special-attack,7.0,generation-i
True,squirtle,https://pokeapi.co/api/v2/pokemon/7/,7,squirtle,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,314,Gen 1,64.0,special-defense,7.0,generation-i
True,squirtle,https://pokeapi.co/api/v2/pokemon/7/,7,squirtle,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,314,Gen 1,43.0,speed,7.0,generation-i
True,caterpie,https://pokeapi.co/api/v2/pokemon/10/,10,caterpie,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,195,Gen 1,45.0,hp,10.0,generation-i
True,caterpie,https://pokeapi.co/api/v2/pokemon/10/,10,caterpie,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,195,Gen 1,30.0,attack,10.0,generation-i
True,caterpie,https://pokeapi.co/api/v2/pokemon/10/,10,caterpie,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,195,Gen 1,35.0,defense,10.0,generation-i
True,caterpie,https://pokeapi.co/api/v2/pokemon/10/,10,caterpie,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,195,Gen 1,20.0,special-attack,10.0,generation-i
True,caterpie,https://pokeapi.co/api/v2/pokemon/10/,10,caterpie,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,195,Gen 1,20.0,special-defense,10.0,generation-i
True,caterpie,https://pokeapi.co/api/v2/pokemon/10/,10,caterpie,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,195,Gen 1,45.0,speed,10.0,generation-i
True,weedle,https://pokeapi.co/api/v2/pokemon/13/,13,weedle,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,195,Gen 1,40.0,hp,13.0,generation-i
True,weedle,https://pokeapi.co/api/v2/pokemon/13/,13,weedle,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,195,Gen 1,35.0,attack,13.0,generation-i
True,weedle,https://pokeapi.co/api/v2/pokemon/13/,13,weedle,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,195,Gen 1,30.0,defense,13.0,generation-i
True,weedle,https://pokeapi.co/api/v2/pokemon/13/,13,weedle,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,195,Gen 1,20.0,special-attack,13.0,generation-i
True,weedle,https://pokeapi.co/api/v2/pokemon/13/,13,weedle,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,195,Gen 1,20.0,special-defense,13.0,generation-i
True,weedle,https://pokeapi.co/api/v2/pokemon/13/,13,weedle,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,195,Gen 1,50.0,speed,13.0,generation-i
True,pidgey,https://pokeapi.co/api/v2/pokemon/16/,16,pidgey,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,251,Gen 1,40.0,hp,16.0,generation-i
True,pidgey,https://pokeapi.co/api/v2/pokemon/16/,16,pidgey,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,251,Gen 1,45.0,attack,16.0,generation-i
True,pidgey,https://pokeapi.co/api/v2/pokemon/16/,16,pidgey,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,251,Gen 1,40.0,defense,16.0,generation-i
True,pidgey,https://pokeapi.co/api/v2/pokemon/16/,16,pidgey,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,251,Gen 1,35.0,special-attack,16.0,generation-i
True,pidgey,https://pokeapi.co/api/v2/pokemon/16/,16,pidgey,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,251,Gen 1,35.0,special-defense,16.0,generation-i
True,pidgey,https://pokeapi.co/api/v2/pokemon/16/,16,pidgey,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,251,Gen 1,56.0,speed,16.0,generation-i
True,rattata,https://pokeapi.co/api/v2/pokemon/19/,19,rattata,False,False,False,False,True,generation-i,https://pokeapi.co/api/v2/generation/1/,253,Gen 1,30.0,hp,19.0,generation-i
True,rattata,https://pokeapi.co/api/v2/pokemon/19/,19,rattata,False,False,False,False,True,generation-i,https://pokeapi.co/api/v2/generation/1/,253,Gen 1,56.0,attack,19.0,generation-i
True,rattata,https://pokeapi.co/api/v2/pokemon/19/,19,rattata,False,False,False,False,True,generation-i,https://pokeapi.co/api/v2/generation/1/,253,Gen 1,35.0,defense,19.0,generation-i
True,rattata,https://pokeapi.co/api/v2/pokemon/19/,19,rattata,False,False,False,False,True,generation-i,https://pokeapi.co/api/v2/generation/1/,253,Gen 1,25.0,special-attack,19.0,generation-i
True,rattata,https://pokeapi.co/api/v2/pokemon/19/,19,rattata,False,False,False,False,True,generation-i,https://pokeapi.co/api/v2/generation/1/,253,Gen 1,35.0,special-defense,19.0,generation-i
True,rattata,https://pokeapi.co/api/v2/pokemon/19/,19,rattata,False,False,False,False,True,generation-i,https://pokeapi.co/api/v2/generation/1/,253,Gen 1,72.0,speed,19.0,generation-i
True,spearow,https://pokeapi.co/api/v2/pokemon/21/,21,spearow,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,262,Gen 1,40.0,hp,21.0,generation-i
True,spearow,https://pokeapi.co/api/v2/pokemon/21/,21,spearow,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,262,Gen 1,60.0,attack,21.0,generation-i
True,spearow,https://pokeapi.co/api/v2/pokemon/21/,21,spearow,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,262,Gen 1,30.0,defense,21.0,generation-i
True,spearow,https://pokeapi.co/api/v2/pokemon/21/,21,spearow,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,262,Gen 1,31.0,special-attack,21.0,generation-i
True,spearow,https://pokeapi.co/api/v2/pokemon/21/,21,spearow,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,262,Gen 1,31.0,special-defense,21.0,generation-i
True,spearow,https://pokeapi.co/api/v2/pokemon/21/,21,spearow,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,262,Gen 1,70.0,speed,21.0,generation-i
